title,reviews
곤지암 (GONJIAM: Haunted Asylum), 이거 원장이..이민가면서 그냥방치해둔건데.. 흉가도아니고..실제 근처 사는 주민들도 골칫거리라는데.. 대단하네요. 이거 원장이..이민가면서 그냥방치해둔건데.. 흉가도아니고..실제 근처 사는 주민들도 골칫거리라는데.. 대단하네요. 이거 원장이..이민가면서 그냥방치해둔건데.. 흉가도아니고..실제 근처 사는 주민들도 골칫거리라는데.. 대단하네요. 이거 원장이..이민가면서 그냥방치해둔건데.. 흉가도아니고..실제 근처 사는 주민들도 골칫거리라는데.. 대단하네요.
곤지암 (GONJIAM: Haunted Asylum),"영화 처음 2/3 정도는 그냥 여러 귀신영화의 장치를 통해서 으시시한 분위기를 잘 내서 이야기가 살짝 늘어지는듯 해도 지루하지는 않게 보고 있었는데요. 오히려 대놓고 귀신 나오기 시작한 부분부터는 지루하게 봤습니다. 귀신들도 개연성이 없고 이때부터 맥이 탁 풀리더군요. (떡밥회수도 거의 전무).

무엇보다 영화 내내 나타나는 박근혜 관련 상징물들도 몰입을 방해하는 요소 중 하나였고요. 일베충들이 노무현 물고빠는거마냥 여기저기 박근혜를 암시하는 장치를 하셨던데 영화의 마지막 장면에까지 박근혜 넣는거 보고 아 진짜 이 감독은 박근혜에 환장했구나 싶더군요. (영화에 나오는 거의 모든 숫자는 박근혜 암시.) 곤지암 원장이 박정희하고 찍은 사진이나 탁구치는 사진도 이상하게 박근혜처럼 분장을 해 놨다 싶더라니 찾아보니 실제로 있는 박근혜 사진들이네요. 그저 영화 처음부터 끝까지 박근혜 박근혜 박근혜 박근혜 ㅡㅡ

귀신영화 보러왔지 박근혜 영화인줄 알았으면 안 봤을거고요.

그리고 아니 다른 장르도 아니고 무슨 귀신 나오는 상업오락영화에 세월호를 넣어요?

귀신나온다는 정신병원에 대빵만하게 세월호 리본하고 304 Angels라고 낙서 해 놓고, 계속 그 낙서가 잘 보이도록 앵글을 잡던데 진짜 몰입감 깨지고 부적절하다고 생각됐습니다. 특히 나중에 교복입은 물귀신 나올때는 감독이 돌았나 ㅡㅡ 싶었네요.

무슨 정신으로 감독은 귀신영화에 세월호와 교복물귀신을 넣는게 좋은 아이디어라고 생각한걸까?"
곤지암 (GONJIAM: Haunted Asylum),"원장이 자살했다느니 뭐니 같은 시답잖은 입소문이랑 인터넷 방송에서 만든 주작 때문에

인근 주민들은 특히 여름마다 시도 때도 없이 여기 가려고

라이트 켜고 소리 내고 다니고 폐가 탐사 끝나고 주변 길가에서 술판 벌이는 사람들 때문에

불만이 상당한 상태인데

그런 상황에 이런 영화가 나온다? 더 많은 사람들이 여기 가 보려고 난리칠듯

영화가 잘 되든 안 되든 인근 주민들만 더욱 피해보겠지


------------------------------------------------------------------------"
곤지암 (GONJIAM: Haunted Asylum),"리뷰에 앞서 
고등학생들이 엄청 떠든다는 리뷰를 보고 .. 일부로 늦게본 영화
아무리 재미가 있고 없고를 떠나서.. 
22시50분영화  뒤에 앉은 커플 90분동안 영화분석 하시고
옆에 앉은 커플 90분내내 잡담하시던데 영화예절좀 배우고오셨으면 좋겠습니다. 
적당히좀 하세요 

---------------------------------------------------------------------
한국 공포를 좋아하지 않는다 이영화를 보게된 이유는 ..
여자친구가 보고싶다기에 
미리 한번보고 여자친구와 다시볼때 주요 장면에 깜짝 놀라켜 주려고. 예습 차원에서 본것이다.. 
하지만 보고나서 알았다  .... 여자친구를 뜯어 말리겠어.. 영화볼돈으로 맛있는 밥먹어야딩 

사실 리뷰할것도 없는영화..  그래도 저처럼 아 볼까말까 고민하다가 볼분을위하여 

조금 늦은 리뷰를 써본다 ..여러분의 돈과 시간은 소중하니까..

""내돈내고 내가봤으니까 .. 이런거써도 괜찮겠지?""



일단 후기는...
촬영방식은 예전에""혼숨"" 이있었기에 전혀 참신하지않았다 .. 
사실 혼숨이 더 재미있었던것같다

다큐같고 어중간한 느낌..깜놀영화도아니고.. 너무식상한 등장방식과

정말 개연성 없는 갑툭튀장면들 ( 가스 버너 같은 장면) 

팀원들이 실제귀신에 다당하고 죽어가고 있지만 

정의감도 아닌 그냥 욕하며 뛰어가는 인터넷 방송 감독

뭐라는지도 모르겠던 영어인지 한글인지 모를 말을 쓰던 샬럿?  

말도안되는 설정과 여러가지 이야기들 

어디서 본듯한 귀신들과 어디선가 본것같은 귀신들 

(예전엔 흰자만 있는 귀신이 유행이었지만 요즘은 눈동자에 흰자없는 귀신이 유행인가봄)

마지막 나오는귀신은 마치 컨저링 2에 나왔던 귀신과 비슷해 보이며 

나름 갑자기 등장했지만 너무 웃기게 생긴나머지 소리내서 웃어 버렸다 ...

 나 이제 나갈꺼예요 놀랄준비하세요 하고 나오는 귀여운 귀신들..

진짜 리얼로다가 비명소리 한번도 못들었고.. 귀신나오는장면에서.. 웃는사람만 ... 

유튜브나sns 나오는 욕소리던지.. 진짜 무섭다 던지.. 비명한번을 못들었어... 

예전 공포영화 닥터를 스위트 박에서에 무려 3만원 주고 봤던 충격과 공포가 다금 엄습해온다 올레케이티 할인받아서 2명이 7500원주고 봤지만 사실 포인트가 아깝다...다음에 여자친구랑 볼 영화 포인트인데.. 


평점 1점을준건 저 댓글알바 부대의 위대함을 느껴서 일까?

사실 한 4.5점 정도는 주고싶다..그냥 .. 공포 못보는 사람들을위한 공포영화랄까?

보고나서 찝찝한 기분은 없이 깔끔한것같기에.. 4.5점정도?

사실 손익분기점 넘겼으면... 댓글알바 그만쓰시고.. sns 홍보좀 그만하시고.. 

다음주쯤이나 다다음주쯤 ip Tv로 판매하시면 될듯해요 "
곤지암 (GONJIAM: Haunted Asylum),집단자살 루머임 원장 이민감ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
곤지암 (GONJIAM: Haunted Asylum),"    - 스포일러 있음
  볼 땐, 매우 무서운 것 같았는데, 보고 나니 별로 무섭지 않다. 영화 전반부는 그냥 분위기만을 보여줄 뿐이다. 그 분위기는 서서히 공포를 조성하지만, 정작 무서운 일은 후반부에 발생한다. 후반부의 무서움을 위해서 전반부를 모두 희생한 느낌, 공포를 절제해서 보여주어서 무섭다는데, 공포가 절제된 것이 아니라 부족한 느낌. 영화 곤지암이 4월 30일 현재 누적관객 2,674,555명으로 한국 공포 영화 박스 오피스 2위가 되었다는 것이 미스터리할 뿐이다.
  ?
 곤지암에서 사라진 고딩들이라는 제목의 영상으로 시작되는 영화 곤지암. 그 영상에는 곤지암 정신병원 402호를 찾아가는 고딩들이 나오는데, 그 402호는 병원에서 유일하게 문이 열리지 않는 공간이다, 이 402호를 열려고 시도만 해도, 곤지암의 저주로 죽는다는 소문이 나 있는 곳이다. 이 영상에서 무서운 장면이 나오고, 그래서 이게 진짜인가 하고 위하준(하준 역)이 인터넷 뉴스 검색과 신문 검색을 통해서, 그 공포가 사실이라고 주장하면서, 귀신의 실체를 파악할 것이라면서 같이 갈 사람을 인터넷으로 모집한다.
  ?
 영화 곤지암은, “이 영화는 특정인물, 회사, 단체, 건물과 무관합니다”는 자막으로 시작함으로서, 곤지암 정신병원의 공포는 모두 뻥이다고 고백한다. 영화 속에서 곤지암 정신병원에 관한 갖가지 기사가 나지만, 사실은, 모두 근거 없는 조작이다. 다만 한 가지, 곤지암 정신병원, 세계 7대 소름돋는 장소로 CNN에서 뽑혔다는 사실이다. 이와 함께 곤지암 정신병원은, 최근 방송에서 '충북 제천 늘봄가든', '영덕 흉가' 등과 함께 대한민국 3대 흉가로 전파를 탔다.
  ?
 이 사실을 근거로, 곤지암 정신병원의 공포가 조장되고, 정말 그러한지 탐험하러 가서 탐험단 모두가 귀신을 만나, 살아돌아오지 못한다는 이야기가 바로 영화 곤지암의 내용이다.
?
     
대부분의 공포 영화가 공포스러운 이야기를 중심으로 전개된다면, 정범식 감독의 영화 곤지암은, 공포 자체보다도 공포에 질린 사람들의 표정에 더 주목한다. 이와 함께 영화 곤지암을 소름 돋게 만드는 장치에 더 신경을 기울였다. 영화 곤지암은, 곤지암 정신병원의 402호를 체험하는 동영상을 인터넷에 실시간으로 올리는데, 영화 마지막에서 영상의 배경으로 의자에 앉아 있던 귀신들이 일어나서 사라진다. 또한 이 영상은, 곤지암을 촬영해서 실시간으로 올릴 때는 거의 100만에 육박해서 위하준을 들뜨게 하지만, 그것은 모두 허상이었다. 위하준도 402호로 간 후에 실제로 인터넷에 올려진 영상의 조회수는 503에 불과하다. 위하준이 올렸다고 생각하는 곤지암 정신병원의 공포스러운 영상이 사실은 올라가지 않았던 것이다.
  ?
 곤지암 정신병원이라는 공포스러운 이야기를 새로운 방식으로 접근해서 무섭다는 환상을 일으켰던 영화 곤지암, 그래서 흥행에는 성공했지만, 과연 무서웠는가에 대해서는 의문 부호가 남는다. 기존의 공포 영화보다 무섭다고 보기에는, 특별한 것이 없기 때문이다. 다만 영화가 상영될 때, 그 공포를 더 깊게 체험할 장치가 많았다는 것인데, 끝나고 나면, 많이 허무하다. 이것이 영화 곤지암이 한국 공포 영화 박스오피스 1위 영화 장화, 홍련을 넘어서지 못한 이유인 것이다.
  곤지암
감독
정범식
출연
위하준, 박지현, 오아연, 문예원, 박성훈, 이승욱, 유...
개봉
2018.03.28. 한국
평점
리뷰보기
? "
곤지암 (GONJIAM: Haunted Asylum),"왜 다들 곤지암 욕 하시는지 모르겠어요!!!!!!!!!!!!!!!!!곤지암 찍은 감독은 무슨 잘못이야!!!!!!!!! 내용만 재미 있으면 되지 너희들은 이영화 안 볼거야? 볼거면서 뭘 그래!!!!!!!! 이 영화 네이버에 쳐 본것도 죄야~~~~~~~~~ 마지막으로 한 마디 할게 , 욕 한사람들 조카............... 한 마디만 더 할게, 귀신들이 보고있다 밤길 조심해 뒤통수 날아간다~~~ 감독님 사랑해요 좋은 작품 만들어 줘서~~그리고 영화에 출연한 모든 배우들 그리고 스탭분들 무서우실 텐데 고생많으셨어요 감사합니다 특히 남자분들 선빈이가 찾아갈게요♥"
곤지암 (GONJIAM: Haunted Asylum),"보지말라는 것에는 반드시 이유가 있다.



오늘 아침에 10시 조조영화로 보고왔습니다.

후반에 사일런트힐 간호사 나와서 이게 뭔가 다 짬뽕한 호러 같았으나 전혀 무섭지 않았습니다.

스토리는 없고 분위기와 어설픈 공포 조성만 하다 끝납니다. 

여성 출연자들 꽥꽥 소리만 지르고 갑자기 뜬금없이 공간이동을 하질 않나.

저 같은 공포영화 매니아분들은 상당히 무덤덤하게 볼겁니다.

해외 공포영화처럼 스토리를 잘 만든 공포 영화가 나오길 바라며

보고 온 소감을 곤지암으로 3행시 가겠습니다.


곤지암

지금 보고 왔습니다.

암 걸리겠다."
곤지암 (GONJIAM: Haunted Asylum),"영화의 도입부는 참신했다.

중반부까지 수많은 떡밥을 뿌리며, 왜 원장은 환자를 살해하고 자살했을까?
영화 중간에 나오는 인형에는 어떤 스토리가 있을까?
어떻게 저런 기이한 현상들이 일어나는 걸까?
왜 402호의 문은 열리지 않았을까?

수많은 궁금증을 관객에게 던지고

결국 마무리는??
스포가 될 것 같아 적진 않지만
아무런 떡밥도 회수하지 않고,
그냥 영화 중간에 THE END를 외친 느낌이다.

영화가 끝나고, 에이 설마 크레딧 다 내려가고 뭔가 더 있겠지 싶었지만
아무것도 없는 걸 알고 난 후의 허무함은 더했다."
곤지암 (GONJIAM: Haunted Asylum),"개인적으로 좀 겁이 많은편입니다. 공포영화 잘 못보는 편인데... 
웃으면서 본 공포영화는 첨이네요.

영화 기법이나 평론 그런 것 잘 모르니 패스하고.

초반 유투버 맴버 모이고 무슨 MT가듯 출발하는 장면 현실감을 위해서 필요했는지 모르겠습니다만 솔직히 무지 지루합니다.
곤지암 들어가서 진행 또한 이렇다한 반전이 없습니다.
너무 예상대로 한명한명 죽어나갑니다.
그래서 영화 내용보다 곤지암 가는길에 속옷이 왜있었는지가 더 궁금할 지경...;;

간단히 줄이면...
안무서운 공포영화. 
공포영화 입문자라면 도전해 볼만하다.
이게 제 평입니다."
