title,reviews
나를 기억해 (Marionette),"나를 기억해
감독
이한욱
출연
이유영, 김희원
개봉
2017 대한민국
평점
리뷰보기

여교사 서린은 책상위에 놓인 커피한잔을 마셨다.
학생이 깨워서 일어났는데.....
자신의 손목에 빨갛게 되어있었다.
묶여 있었다는 표시.......

무슨일이 있었던 것일까>>>??>>??
멍해진 그녀..........

문자하나가 도착한다.
마스터라는 사람이 보낸 문자.
""좋은꿈 꿨어요?""..로 시작하는 그의 무자가
그녀를 괴롭힌다.

그녀의 과거 기억을 파해치는 공포..

어릴때 그녀는 채팅으로 만난 한 놈이랑....술마시고 놀다가
술깨라며 먹었던 음료하나로 정신을 잃었다 깨어나니
의자에 손이 묶인채..
동영상으로 촬영되면서 집단 성폭행을 당했던 과거..
그 기억들을 떠올리게 하는 마스터의 문자들

영화는 현재와 과거의 일들을 번갈아 가면서 보여준다.

뉴스에도 크게 나왔던 그 일을 잊기위해
이름도 바꾸고 서울로 전학을 와서...잊은줄 알고 살다가 교사가 되었고
곧 결혼을 앞두고 있는 상태...


그러나 그녀는 다시 똑같이 동영상을 찍힌것이다.
몇개의 사진을 전송받는 그녀의 눈빛은 불안의 눈빛이다.

누가 범인일지 아주 궁금하면서도 불안한..


그녀는 학생시절 그 사건을 담당했던 경찰에게 전화를 한다.
그는 경찰을 그만두고 피씨방에서 폐인처럼 지내는 그냥 동네 꼰대같은 스타일..로 살고 있다.
피씨방에서 꼬마로 보이는 어린 학생들이 욕을 해가며...게임을 하는 애들에게
잔소리를 하는데 애들은 그에 굴하지 않고 피씨방에서 담배를 피는 욱철을
담배나 피지 말라고 말한다......

그녀는 학생시절 만났던 그 채팅남 소식을 묻는다
경찰였던 국철은...아는 경찰을 통해 그의 소식을 묻지만 수배중이라고 한다.

그러던중....학교에서 반장 동진과 여학생 세정의 수상한 장면을 본다....
며칠 후 애들에게 돌려진........세정의 사진들......
경찰에 신고전에......서린은 세정의 상황을 묻는데..
자신과 비슷한 상황에 처한 거라...세정을 보고하고 싶어하는데............

그 범인으로 동진을 의심해서 그를 뒤쫓아 보는데..........
애들이랑 놀다가 모텔로 가는걸 보고............

그러다 어느날 노래방에서 그녀의 미행을 눈치챈 아이들
그녀는 도망가다가 욱철의 도움으로 위험을 모면하는데.........

궁지에 몰린 서린과 학생 세영......

세영을 도와주기 위해 서린은 애를 쓰는데
다시 온 문자........세영을 구하기 위해 어디로 오라는...
어디로 오라는 문자를 받는 그녀는 그 주소를 욱철에게 알려주고...
욱철은 경찰에게 도움을 요청한다..


서린은 어느 건물에 가서..마시라는 음료수를 마셨고..
의자에 다시 묶이게 된다...

잠시후 애들이 카메라를 들고 한무리로 왔다
세영이는 괜찮냐고 서린은 묻는다

알고보니 세영이도 한패로...세영이가 피해자가 아니라...
반장이었던 동진이가 피해자인거였다..

그렇게 애들도 마스터의 주문으로 서린의 동영상을 찍는거라는 걸 알았다

욱철이 와서......애들속에서 서린을 구하려고하지만...
애들이 여럿이라 욱철도 애들에게 묶이고
결국 출동한 경찰들로 인해 애들이 잡히고


이젠 마스터를 잡으려고 전화번호의 위치추적으로 찾아가지만..
범인은.......예전의 그놈이 아니라..
전혀 다른 꼬맹이의 소행이였던 것이다

그걸 알고 서린은 전에 그 놈 나쁜놈이 아니라 어쩌면 다행이라고 하면서 영화는 끝난다

서린이 학생때 당했던 그놈은 자살로 죽었다고 해서 그 상가집 보여주는 장면도 있다.


성폭행 애들의 악행...그리고 과거 기억속에서 벗어날수 없는 그녀
그렇지만 전과 다르게 현실을 극복하고자 하던 의지

실화를 바탕으로 한 이 영화............끝나고  감독이랑 배우들 표창원 의원까지..
GV까지 있던 행사인데.............
감독의 의도를 들으니...훨씬 영화가 풍부해지는 느낌이다
영화 자체로만 봐도 잘 만든 영화............


영화상에서 욱철이 서린에게 잘못했던걸 고백하는 장면..
티비에까지 나오면서 서린의 신상이 털린 게..자신이 기자에게 제보한것이라는걸 털어놓는다.
그래서 서린은 그에게 아주 시원하겠다면서 편하게 살라고 쉬크하게 말한다.

그녀는 그일 이후 편하게 산 날이 없다.
욱철도 그 후 맘편하게 산 날이 없는것..

그녀를 다시 도와준 이유도....그의 죄책감을 덜기 위한 것이겠지

자살로 과거 범인이 죽은걸로 나온것도...잘못하면 맘편하게 살지 못한다는걸 표현하고 싶었던 것일까? 질문을 못해서 모르겠네...

아직도 어딘가에서 이런 비슷한 일을 겪고 힘들게 사는 사람들이 있을것이다.
많은 사람들이.주변사람들이 그 사람을 마녀사냥마냥........관심을 갖지 않길 바라는 맘이 있다.


씁쓸한 현실속에서..이제는 전보다 잘 살길 바라면서.........


#20180421 #나를기억해#이유영#김희원"
나를 기억해 (Marionette),"실화를 모티브로 했다는 것이 내 관심을 끌었다.
고등학생 유민아가 윤간당하는 장면을 보면서 사람이 아니라 악마 새끼다. 나도 모르게 욕이 튀어나왔다.

교사가 된 유민아는 다시 정신없는 상태에서 촬영을 당한다. 피해자는 일상 생활을 제대로 할 수 없을 정도로 공포감에 사로잡힌다는 것을 잘 그려냈다.

경찰에 신고해서 조사할 수도 있지만 숨기고 싶은 마음에 전직 형사 오국철에게 먼저 연락을 한다.

오국철은 유민아 사건을 맡았던 전직 형사다. 오국철은 언론에 사건을 흘린 것이 자기라고 한서린에게 고백을 한다. 사람은 모두는 아니지만 잘못을 하게 되면 양심의 가책을 가지게 되는 것 같다.

마스터가 교사 한서린의 사진을 공개 하겠다고 협박하면서 카운터를 셀때 가슴이 조마조마 했다.
공개된 사진은 제자 양세정의 사진이었다. 세정은 사건이 있은 후에 숨지 않고 학교에 나온다.

영화를 보는 내내 피해자인 줄 알았던 양세정이 가해자로 나타났을 때는 대반전이었다.

마스터를 추적해 나가는 과정이 스릴이 있었다."
나를 기억해 (Marionette),"나를 기억해
감독
이한욱
출연
이유영, 김희원
개봉
2017 대한민국
평점
리뷰보기
 2018년 4월 21일 09시 40분 CGV 대전탄방점에서....

태민이 면회하러 갔다가 점심 먹기전까지 시간이 많이 남아서 영화를 한편 보기로 하고 대전까지 가서 영화를 봤다
참 먼곳까지 가서 본다~ㅎㅎㅎㅎ
스릴러 인줄 알았는데 그정도는 아니었고
추리도 아니었는데 범죄극인데 가볍게 느낀것만 말하자면
자식은 아들이건 딸이건 잘 챙겨야하고 관심도 많이 가져야겠다는 생각..
그리고 아이들 스스로도 너무 모르는 대상에 대한 환상을 가질 필요가 없다는걸 알아야하는데
아이들이다보니 판단이 흐려지기도 하고 잘 모르기도 할테지..
어른들이 잘 가르쳐야하는 부분인데 요즘 참 먹고 살기 힘들다보니 아이들에게 관심을 덜 가지게 되고
아무래도 아이들 스스로 해야하는 상황이 많다보니 안 좋은쪽으로 빠지게 되고
그런 문제점들 때문에 아이들의 문제도 좀 커지는건 아닐까? 뭐 어려운 부분이긴 하지만..
반전이 있어서 그나마 오잉?? 했지만 약간은 허무한??
암튼 우리의 아이들이 안전한 세상이 오면 좋겠다. "
나를 기억해 (Marionette),"?무척이나 심오하고 어두운 영화 < 나를 기억해 >는 실화를 모티브로 만들었다고 합니다. 미스터리영화 인 만큼 '마스터'가 누군지를 찾아내는 영화입니다. 잔인한다거나 야한건 없었지만 심리적으로 궁금해지고 예측해나갈수가 있었습니다. 영화는 전반적으로 괜찮은 구석도 있었지만 그렇게 흥행할만한 영화라곤 저는 생각이 들지않았네요. 물론 그 개인적인취향이기에... 마지막 결말은 현실이지만 너무나도 마음에 안드는 결말이였습니다. 그저 배우들이 너무 멋지고 이쁘다는것만 그리고 정말 나쁜놈, 년 연기를 잘했다는것.

나를 기억해
감독
이한욱
출연
이유영, 김희원
개봉
2017 대한민국
평점
리뷰보기

?시원한 액션, 긴장감을 보여주는 잔혹함이 너무 없어서 조금 싱거운 스릴러영화가 아니였나 생각이 들었습니다. 무엇보다도 이 영화는 조금만 더 다듬었다면 상당히 호평을 들을수 있을 영화라 생각이 드는데...


성폭력, 그녀의 고통
?상당히 현대사회를 비판하지만 과거의 사회도 또한 비판을 합니다. 그것은 즉시 바뀐것이 없다 라는것이죠 거의 동잃한 과거와 현재를 보여주는것이였습니다. 처음엔 사실 너무나도 놀랐습니다. 이유는 학생이 성폭력을 당하고, 교사가 성폭력을 당하는것인데 아주~~~나중에야 알았습니다. 그 학생이 바로 교사였다는것을. 과거에 이미 성폭력을 당했었고 그 고통이 현재에 다시 되살아나서 고통을 받는 이야기였습니다. 그런데 이런것도 제대로 알려주지않을만큼 부실한 스토리는 용납을 못했습니다. 다시 처음부터 봐야했었는데 또보기엔 그렇고 그렇다고 아예 대놓고 말하라는건 아니지만 그래도 중간중간 연결을 시켜줘야 하는데 갑자기 난대없이 과거와 현재가 나오면서 헷갈리게 하는 부분은 저는 보기에도 안좋았습니다. 스토리도 그렇지만 연출이 조금 꽝이였습니다.
?
?분위기를 잘잡네
?심오하고 어두운 분위기라고 했습니다. 상당히 그럴만한 영화였고 약간의 놀래키는 장면도 들어있었습니다. 그건 다름이 아닌 배우들의 연기도 한몫을 했는데요 아역과 성인배우들 모두 구분, 차별, 상관없이 상당히 잘 어우러졌습니다. 놀랍고도 괜찮은 그런 연기를 보여줘서 더더욱 억울한영화가 아닐까 생각이 드네요. 학생역할을 하는 배우들도 이쁘고 멋지며, 이유영과 김희원배우의 모습도 상당히 멋지고 좋았습니다. 김희원 배우님은 그냥 분위기에 따라서 돌변해서 마음에 들었네요. 그리고 무엇보다도 여자들이 많이 불쌍했으며 상당히 분위기를 잘 잡았습니다. 연기라던가 그런 비주얼은 좋은데...
?
?
?
?재미가 있다가도 재미가 금방 죽는
?뭔가 흥미진진해지면 금방 식어지는 그런 영향이 보였습니다. 아무리 그래도 조합이 잘 안맞는 영화가 아닌가 생각이 드네요. 중간중간 유머를 넣었는데 그 유머조차도 반갑지가 않다거나 그냥 김빠진 콜라를 먹는 느낌이였습니다. 진지할땐 진지하더라도 그냥 저한텐 취향이 살짝 안맞았습니다 ㅠㅠ... 그리고 마지막 정말 허무하긴 했어요 물론 엔딩이 결국 그렇게 끝나야겠었지만... 현실이라 더더욱 기분이 나쁘고 불쾌해졌네요!!
?
?그래도 색시주뇨비님의 따뜻함으로 저는 영화를 보고 좋았습니다! 작품이 그래도 배우들의 연기라던가 분위기 상당히 잘 잡아서 좋았네요 :)

박군의 평점은?
연기 09
비주얼 08
스토리 07
연출 06
총 평점 : 7.5"
나를 기억해 (Marionette),"MOVIE REVIEW NO. 01
나를 기억해
감독
이한욱
출연
이유영, 김희원
개봉
2017 대한민국
평점
리뷰보기
  고등학교 여교사 ‘서린’은 책상에 놓인 커피를 마신 뒤 취한 듯 잠든다.
 다음날, ‘마스터’라는 정체불명의 발신자가 보낸 한 통의 문자.
 “좋은 꿈 꿨어요?” 그리고 셔츠가 풀어헤쳐진 여자의 사진, 바로 서린 자신이다!
 서린은 오래 전 한 사건으로 얽힌 전직형사 국철과 함께 ‘마스터’의 실체를 파헤친다.
 서린의 학교 여학생들도 연쇄적으로 범행의 대상이 되는 가운데, 마스터의 정체는 미궁으로 빠지는데...
 
 주위의 누구도 믿을 수 없다.
 마스터, 당신 대체 누구야!
        동영상이 첨부되었습니다. 원본보기
 "
나를 기억해 (Marionette),"나를 기억해
감독
이한욱
출연
이유영, 김희원
개봉
2017 대한민국
평점
리뷰보기

실제 상황이라 믿어지지 않는 스토리.....

고등학교 여교사 ‘서린’은 책상에 놓인 커피를 마신 뒤 취한 듯 잠든다. 
다음날, ‘마스터’라는 정체불명의 발신자가 보낸 한 통의 문자....!!!
“좋은 꿈 꿨어요?” 그리고 셔츠가 풀어헤쳐진 여자의 사진, 바로 서린 자신이다!

서린은 오래 전 한 사건으로 얽힌 전직형사 국철과 함께 ‘마스터’의 실체를 파헤친다. 
서린의 학교 여학생들도 연쇄적으로 범행의 대상이 되는 가운데, 
마스터의 정체는 미궁으로 빠지는데...

마스터는...... 바로~~~~~~~??

결론적으로.... 탈락....!!!"
나를 기억해 (Marionette),"여교사 이유영 + 전직형사 김희원, 스릴러 <나를 기억해>
기사입력2018.03.13 오후 5:00
출처-> http://entertain.naver.com/read?oid=438&aid=0000018617
여교사 이유영 + 전직형사 김희원, 스릴러 <나를 기억해>
의문의 연쇄 범죄에 휘말린 ‘여교사’ 이유영과 전직 ‘형사’ 김희원이 사건이 사건 해결을 위해 손을 잡는다. 4월 개봉예정인 미스터리 범죄 스...
entertain.naver.com
의문의 연쇄 범죄에 휘말린 ‘여교사’ 이유영과 전직 ‘형사’ 김희원이 사건이 사건 해결을 위해 손을 잡는다. 4월 개봉예정인 미스터리 범죄 스릴러 <나를 기억해>이다.

12일 오전, CGV압구정에서는 방송인 박경림의 사회로 영화 <나를 기억해>의 제작발표회가 열렸다. 이 자리에는 이한욱 감독과 두 주연배우 이유영, 김희원이 참석했다.

이유영은 결혼을 앞두고 의문의 연쇄범죄에 휘말리게 되는 교사 서린을 연기한다. 이번 작품을 위해 액션 스쿨까지 다녔다고 한다. “액션 씬이 어려웠다. 상대 배우랑 합을 맞춰서 하지 않으면 자칫하면 다칠 수도 있고 맞는 연기가 그렇게 어려운 줄 몰랐다”고 소감을 정했다.

끝까지 사건을 쫓는 열혈 전직 형사 ‘국철’ 역의 김희원은 자신의 역할에 대해 “과거의 정치적 타협으로 죄책감을 느끼고 아픔이 있는 캐릭터다. 결이 어두운 캐릭터” 라며 기존에 맡았던 형사 역과는 다른 캐릭터임을 예고해 새로운 변신을 기대하게 만들었다.

이한욱 감독은 “평소 스릴러를 좋아하고 잘 보는 편이다. 정보를 얼마나 보여주고 감추는 지에 따라 다른 게 스릴러의 매력. 관객들이 처음부터 마지막까지 긴장감을 가지고 볼 수 있도록 노력했다”며 영화에 대한 자신감을 드러냈다.

영화 <나를 기억해>는 4월 개봉될 예정이다. (KBS미디어 박재환)

박재환 kino@kbsmedia.co.kr

Copyrights ⓒ KBS & KBS Media. 무단 전재 및 재배포 금지

추천뉴스

AiRS 추천뉴스
[룩@차이나] '송혜교 하객' 中 매거진계 거물 쑤망, 전격 사직
댓글
1
[단독] 심혜진, 3년만에 지상파…KBS '오늘보다더사랑해' 유력
댓글
3
""살짝 부른 배""..'주상욱♥' 차예련, 제주 태교 여행
댓글
10
[단독] 지일주, 영화 '오만'으로 감독 데뷔…주연까지 '1인 2역'
댓글
2
[단독] '쇼미' 자메즈, 첫 정규 발매..송민호·박재범·도끼 뭉쳤다
댓글
   "
나를 기억해 (Marionette),"""그날 이후 모든 것이 무너졌다""
<나를 기억해>
다른 시간, 다른 장소에서 벌어지는 연쇄범죄!
<나를 기억해> 예매권 이벤트를 알려 드립니다.
자세한 응모방법과 응모기간은 <세상의 모든 시사회>페이스북에서 확인하세요.

↑클릭하면 <세상의 모든 시사회>
페이스북에서 이동 됩니다.

 세상의 모든 시사회
""그날 이후 모든 것이 무너졌다"" <나를 기억해> (2018년 4월 개봉 / 관람등급 미정) 다른 시간, 다른 장소에서 벌어지는 연쇄범죄! <#나를기억해> ...
www.facebook.com




 
 
나를 기억해
감독
이한욱
출연
이유영, 김희원
개봉
2017 대한민국
리뷰보기
 "
나를 기억해 (Marionette),"나를 기억해
감독
이한욱
출연
이유영, 김희원
개봉
2017 대한민국
평점
리뷰보기
 20171227
이봄씨어터 A열 6번
무비프리 시사회
3/5


 
다른 시간, 다른 장소에서 벌어지는 동일한 수법의 범죄
의문의 연쇄 범죄에 휘말린 여교사와 전직 형사가 사건의 실체를 파헤치는 미스터리 범죄 스릴러

고등학교 여교사 ‘서린’은 책상에 놓인 커피를 마신 뒤 취한 듯 잠든다. 
다음날, ‘마스터’라는 정체불명의 발신자가 보낸 한 통의 문자. 
“좋은 꿈 꿨어요?” 그리고 셔츠가 풀어헤쳐진 여자의 사진, 바로 서린 자신이다! 
서린은 오래 전 한 사건으로 얽힌 전직형사 국철과 함께 ‘마스터’의 실체를 파헤친다. 
서린의 학교 여학생들도 연쇄적으로 범행의 대상이 되는 가운데, 마스터의 정체는 미궁으로 빠지는데... 
 주위의 누구도 믿을 수 없다. 
마스터, 당신 대체 누구야!

-네이버 영화-


갑작스레 당첨된 무비프리 선착순 블라인드 시사회.
올해의 마지막 블라인드 시사회인데 좋은 영화가 걸리면 좋겠다고 중얼거리며 가다가 한 정거장 지나고 신사역에서 한참 걸어서 겨우 도착!!! 다행히 1등이라 영화 보기 좋은 자리 받아들고 근처 스벅가서 저녁 해결하고 레모네이드 한잔 들고 입장!!!


<보는 내내 불쾌하고 역겨운데 현실은 그보다 더하니...>
마리오네트라는 가제도 괜찮았는데 결말에 대한 노골적인 힌트라 그런지 바뀌었음.

처음 설문지를 받아들고 영화를 검색해본 후 살짝 집에 갈까 고민을...
김원희 배우 말곤 다 모르는 데다 소재조차 끌리지 않아서 고민이 됐지만 그냥 보기로 했으니 봤는데 아주 나쁘진 않았다.
제작이 언제부터 시작된 건지는 모르겠지만 이 영화는 내 느낌에 소라넷과 아청법에 대한 경각심을 고취시키고자 만든 게 아닐까 싶을 정도로 그 폐해들을 낱낱이 까발린다.
이건 영화니까...라는 말은 영화를 보고 뉴스를 보면 쏙 들어가야 하지 않을까?!
편집본이라 음향이 매끄럽지 않았지만 그럼에도 충분히 사태의 심각성은 잘 전달됐다. 
아주 극단적인 예시를 들어서 설명하곤 있지만 그걸 감안하더라도 충분히 문제가 인식되는 내용들이었으니...

불쾌하고 불편한 소재다. 즐길 수 있는 요소는 전혀 없는... 그저 그런 범죄들이 얼마나 심각하고 그런 범죄를 저지르는 사람들이 얼마나 주변에서 평범한 모습으로 살아가는지 느껴져서 참 섬뜩했던 두시긴.
주연이었던 이유영 배우는 익숙한 얼굴은 아니지만 나쁘진 않았다. 그냥 나쁘지 않았다 정도.
피해자가 어떤 심정일지는 절대 짐작조차 할 수 없지만 답답하고 안타까운 마음이 드는 건 어쩔 수 없을 듯...
그래서인지 연기도 좀 답답한 느낌이... 안타깝긴 했지만 마지막 결정은 참 이해가 안 되는...
김원희 배우야 워낙에 탄탄하니까 믿고 보긴 하지만 개그와 진지함의 균형이 좀 애매했던 것 같기는 했다. 
아예 웃음기를 쫙 빼든가 아니면 웃음 요소를 적당히 집어넣던가...
청소년 배우들의 연기는 참 뭐라 말해야 할지... 그냥 수고했단 말밖엔...

영화에 대한 어떤 평가보단 시사적으로 던지는 메세지만 강하게 기억에 남는 영화.


성악설

인간의 성품이 본래 악하다고 보는 순자의 학설.
 이 영화를 보고 나면 성악설이 맞는가 보다는 생각을 지울 수가 없다. 
후천적인 노력을 통해 끊임없이 선해져야 하는 게 인간의 본성이라는 이야기에 설득되버리는...
개인적으론 성선설을 믿고 싶지만 그러기엔 세상이 너무나 악하니 무섭다는 생각만 든다. 
인간의 선함을 한치의 의심도 없이 믿고 의지할 수 있는 세상이 어서 오길...

추천할만한 영화는 아니지만 던져주는 메세지는 한 번쯤 생각해볼 만한 영화."
나를 기억해 (Marionette),"출처 : https://www.youtube.com/channel/UC9TorfORDKjpkMTiTJS39Sg 

나를 기억해 | Marionette

감독: 이한욱
각본: 이한욱
출연: 이유영, 김희원, 이학주, 오하늬, 장혁진, 이제연, 고규필
제작: 오아시스이엔티
배급: 씨네그루(주)키다리이엔티
개봉: 2018년 4월 (한국) 
줄거리

다른 시간, 다른 장소에서 벌어지는 동일한 수법의 범죄
의문의 연쇄 범죄에 휘말린 여교사와 전직 형사가 사건의 실체를 파헤치는 미스터리 범죄 스릴러
고등학교 여교사 ‘서린’은 책상에 놓인 커피를 마신 뒤 취한 듯 잠든다.
다음날, ‘마스터’라는 정체불명의 발신자가 보낸 한 통의 문자.
“좋은 꿈 꿨어요?” 그리고 셔츠가 풀어헤쳐진 여자의 사진, 바로 서린 자신이다!
서린은 오래 전 한 사건으로 얽힌 전직형사 국철과 함께 ‘마스터’의 실체를 파헤친다.
서린의 학교 여학생들도 연쇄적으로 범행의 대상이 되는 가운데, 마스터의 정체는 미궁으로 빠지는데... 
 
주위의 누구도 믿을 수 없다.
마스터, 당신 대체 누구야!
 

추천인아이디 kodakds2350
?
?

투게더앱스 추천코드 ""1026""
?
여러분의 공감과 덧글은 저에게 큰 힘이 됩니다."
